Site,Participant_ID,RowNumber,session_id,age,attentioncorrect,big5_01_E,big5_02_Ar,big5_03_C,big5_04_N,big5_05_O,big5_06_Er,big5_07_A,big5_08_Cr,big5_09_Nr,big5_10_Or,elm_01,elm_02,elm_03,elm_04,elm_05,gender,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06r,intrinsic_07r,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,major,mood_01,mood_02,nfc_01,nfc_02r,nfc_03r,nfc_04,nfc_05,nfc_06r,selfesteem,stress_01,stress_02r,stress_03r,stress_04,year,Station
IthacaCollege,71,1471,7527141,19,I read the instructions,7,2,7,7,5,3,7,1,5,3,6,4,5,6,5,1,2,2,2,4,3,3,2,3,3,4,4,2,2,3,4,Psychology,4,5,2,3,3,2,4,2,7,4,3,3,5,2,a
IthacaCollege,72,1476,7527182,NA,smoking weed,6,7,7,7,7,7,7,7,7,7,6,5,5,5,5,2,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,undeclared,4,4,1,4,4,4,4,4,7,4,4,4,4,1,b
IthacaCollege,73,2872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IthacaCollege,74,1514,7529956,20,I read the instructions,6,3,6,2,7,2,6,3,5,1,7,6,8,6,7,1,3,3,2,4,3,2,2,3,3,4,4,2,2,3,3,psychology,2,2,3,1,3,3,5,3,5,2,4,3,2,3,b
IthacaCollege,75,2801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a
IthacaCollege,76,2916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,b
IthacaCollege,77,1583,7536191,19,NA,6,1,6,2,7,5,6,5,7,3,5,5,5,6,5,2,3,3,3,4,2,3,2,3,3,3,3,3,3,3,3,Exploratory,2,2,2,4,4,4,4,4,6,4,4,4,2,2,a
IthacaCollege,78,1584,7536194,21,NA,5,4,5,7,5,4,5,6,5,3,2,5,4,4,4,2,2,2,3,4,3,2,1,1,4,4,4,2,2,1,3,"business administration, but switching to accouting",2,2,4,2,2,4,4,3,6,3,4,4,4,2,b
IthacaCollege,79,2804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,b
IthacaCollege,8,479,7425499,19,I read the instructions,5,4,7,5,5,5,6,1,5,4,7,7,8,6,7,2,2,2,2,4,3,2,2,3,2,3,2,2,3,2,3,Economics,2,2,4,2,4,3,4,2,5,3,4,2,1,2,b
IthacaCollege,80,2805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IthacaCollege,81,1618,7538852,21,I read the instructions,7,7,6,3,7,3,6,3,6,5,6,6,7,7,7,2,2,3,2,4,4,2,3,4,2,3,4,2,2,1,4,Applied Psychology,2,2,5,1,2,4,4,2,7,2,5,5,2,4,b
IthacaCollege,82,2933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IthacaCollege,83,1630,7541020,18,I read the instructions,3,2,7,3,6,5,6,2,7,3,7,6,8,7,8,1,3,3,2,3,2,2,2,3,3,4,4,3,4,4,4,Cinema and Photography,3,2,4,4,5,4,3,2,6,2,4,3,3,1,b
IthacaCollege,84,1629,7540997,21,I read the instructions,5,6,7,7,6,6,5,6,2,3,6,4,6,6,7,2,2,1,1,2,2,2,4,2,4,4,4,2,4,4,4,Acting,3,3,2,3,5,2,4,4,1,4,4,3,4,4,a
IthacaCollege,85,1659,7543206,18,NA,4,5,5,3,4,7,5,5,5,6,7,5,5,5,5,2,2,2,1,3,1,2,2,3,4,3,1,2,3,1,3,Chemistry,4,4,2,2,4,4,4,3,6,1,4,3,4,1,b
IthacaCollege,86,1658,7543201,20,I read the instructions,6,5,6,6,7,4,6,2,6,4,7,7,7,7,6,2,3,2,2,4,4,4,4,3,2,4,4,4,4,4,4,Television and Radio,2,2,1,2,1,4,2,3,6,5,5,3,2,3,a
IthacaCollege,87,1672,7543597,19,I read the instructions,6,5,6,4,6,5,6,4,5,2,8,5,8,6,7,1,4,3,3,4,3,2,2,3,3,4,3,2,3,4,4,Psychology,2,2,4,2,2,3,4,1,6,2,4,4,3,2,b
IthacaCollege,88,1673,7543600,18,I read the instructions,6,1,7,5,5,5,7,5,5,5,6,5,8,6,5,1,2,2,1,4,1,3,3,4,3,4,3,4,4,3,4,Physical Therapy,2,2,4,4,4,3,2,3,6,2,4,4,3,1,b
IthacaCollege,89,2880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IthacaCollege,9,2742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IthacaCollege,90,1722,7549676,20,i read the instructions,6,5,7,2,6,1,5,3,7,1,8,5,6,6,5,2,2,2,2,3,3,3,2,3,3,4,3,2,4,4,4,physical therapy,2,1,3,4,4,4,4,3,6,1,5,4,1,3,a
IthacaCollege,91,1766,7552084,20,NA,5,3,6,4,5,3,7,1,5,2,6,4,4,6,6,1,3,2,2,4,4,2,2,3,3,3,4,2,3,2,4,Applied Psychology,1,1,2,2,2,3,5,3,5,2,5,5,3,3,a
IthacaCollege,92,1757,7551762,19,I read the instructions,6,1,5,5,7,2,7,1,3,1,7,6,8,6,7,1,2,2,1,4,2,4,2,4,2,4,4,3,4,3,4,psychology,4,4,2,1,2,2,4,4,5,4,4,3,4,2,NA
IthacaCollege,93,2973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IthacaCollege,94,2943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IthacaCollege,95,2974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a
IthacaCollege,96,2819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,b
IthacaCollege,97,1818,7556495,18,I read the instructions,6,6,7,6,6,5,7,1,5,2,6,4,5,6,5,1,2,3,2,4,4,2,2,4,4,4,4,2,4,4,4,Exploratory,3,2,3,2,2,3,4,2,5,3,4,4,3,1,a
IthacaCollege,98,1819,7556496,21,I read the instructions,5,2,6,3,6,5,6,1,5,2,4,4,4,4,3,1,2,2,1,3,3,3,3,3,3,4,4,3,4,3,4,History,2,2,2,4,4,2,4,5,6,3,4,3,4,4,b
IthacaCollege,99,1834,7556892,18,I read the instructions,5,4,5,4,5,3,5,2,3,5,6,4,6,6,5,1,2,1,1,3,2,2,2,2,2,2,2,2,2,3,3,Pre-professional program,6,6,3,3,3,2,2,4,5,3,3,3,3,1,a
IthacaCollege,NA,1530,7530364,20,I READ THE GOD DAMN INSTRUCTIONS,6,5,5,2,7,5,6,6,7,3,7,7,7,7,7,2,4,3,2,4,3,2,1,3,3,4,4,4,4,4,4,pSYCHOlogy,2,2,4,1,3,4,4,1,5,2,5,5,2,3,NA
IthacaCollege,NA,1531,7530366,20,NA,6,1,7,3,7,2,7,1,6,1,8,7,6,7,6,1,4,3,2,4,2,4,3,3,2,4,4,2,4,3,4,"Environmental Studies Major, Nutrition Promotion Minor",2,2,2,2,2,3,4,3,7,3,4,3,3,3,NA
IthacaCollege,NA,2503,7642086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,5,8,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IthacaCollege,NA,2467,7630482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IthacaCollege,NA,1053,7483489,18,I read the instructions,6,3,4,7,6,5,7,3,3,1,3,5,4,5,4,1,2,2,2,3,3,3,2,3,2,3,3,3,3,2,4,exploratory,5,4,2,3,3,3,3,3,2,3,3,3,3,1,NA
IthacaCollege,NA,1790,7554095,18,I read the instructions,6,4,6,3,5,4,6,1,6,1,8,6,7,8,7,1,2,2,1,3,4,3,3,4,3,4,4,2,3,3,4,Exploratory,3,2,3,2,3,2,3,1,6,2,4,3,2,1,NA
IthacaCollege,NA,1791,7554101,20,NA,5,1,6,4,5,5,7,3,4,4,7,5,8,4,8,1,3,3,2,4,3,3,2,2,2,3,2,1,2,3,3,Math Education,2,2,4,1,4,3,5,3,4,3,4,4,3,3,NA
IthacaCollege,NA,1285,7504276,18,I READ THE INSTRUCTIONS,7,6,7,4,7,5,6,1,5,3,6,7,7,8,4,1,3,3,3,3,3,3,2,4,4,3,4,2,3,3,3,"FILM, PHOTOGRAPHY, VISUAL ARTS",4,4,4,3,3,3,3,3,4,3,3,2,4,1,NA
IthacaCollege,NA,683,7444521,18,I read the instructions,5,2,7,5,6,6,7,3,5,2,7,4,5,3,5,1,3,2,2,4,3,3,2,4,4,4,4,4,4,4,4,Occupational Therapy,3,3,4,2,2,4,4,2,6,4,4,3,1,1,NA
IthacaCollege,NA,2513,7657173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IthacaCollege,NA,1601,7538407,19,NA,6,4,7,2,7,1,5,1,7,1,6,5,6,6,6,1,2,2,2,3,2,2,2,3,4,4,4,4,4,3,3,Applied Psychology,5,4,4,2,3,3,5,1,5,3,4,3,2,2,NA
MiamiUniversity,10,2924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B
MiamiUniversity,100,2352,7611760,19,i read the directions,6,5,6,5,6,5,7,7,5,3,5,5,6,3,5,2,2,2,2,4,3,3,3,3,2,4,3,2,3,2,4,Zoology,2,2,3,2,5,2,2,2,5,3,3,4,2,2,B
MiamiUniversity,101,2353,7611765,19,NA,4,6,6,4,4,3,5,4,6,5,5,5,6,3,5,1,3,3,3,3,3,3,3,2,3,2,4,2,3,1,3,Art Education,4,5,2,4,4,3,4,5,5,2,4,4,3,2,A
MiamiUniversity,102,2361,7611924,20,NA,4,1,6,7,5,7,7,1,3,2,5,5,3,9,5,1,1,1,1,3,3,4,4,3,1,4,4,2,4,3,4,Marketing,2,2,3,3,4,2,2,3,6,3,3,4,3,2,C
MiamiUniversity,103,2358,7611920,22,self improvement,6,3,7,4,7,3,7,2,7,7,9,7,7,7,5,3,4,4,4,4,4,4,1,3,4,4,4,4,4,4,4,Iternational Studies,1,1,5,1,1,5,5,1,7,1,5,5,5,2,A
MiamiUniversity,104,2360,7611923,19,NA,4,5,5,4,5,4,5,3,5,4,6,5,5,5,5,2,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,computer science,2,2,3,2,3,3,4,3,4,1,4,4,3,2,D
MiamiUniversity,105,2359,7611922,20,I read the instructions,3,6,7,4,6,5,5,3,6,3,4,5,5,6,6,2,2,2,2,2,2,2,3,3,3,3,3,2,3,3,3,Psych,4,3,NA,3,3,3,3,3,4,3,5,4,3,2,B
MiamiUniversity,11,366,7415130,20,I read the instructions,2,7,7,5,5,5,4,4,3,3,6,6,4,5,5,2,2,2,2,3,3,2,2,2,2,2,2,1,2,2,2,Bio/Pre Med,4,4,2,4,2,3,4,3,3,4,3,3,4,2,A
MiamiUniversity,12,365,7415126,18,NA,5,5,5,3,5,5,4,1,3,1,4,4,5,6,5,1,2,2,1,4,3,3,2,3,3,3,4,1,2,2,3,Kinesiology,4,4,4,4,2,3,4,2,3,3,4,3,2,1,D
MiamiUniversity,13,367,7415133,19,I read the instructions,2,2,5,7,4,2,5,3,6,6,4,5,2,4,4,2,2,2,2,2,2,3,3,2,2,2,2,2,2,3,3,History,5,5,4,2,3,3,4,4,2,4,2,4,3,2,B
MiamiUniversity,14,403,7420116,20,I read the instructions,5,2,6,3,5,6,6,1,6,1,5,6,6,4,6,1,2,3,2,4,3,2,2,4,4,4,3,1,3,3,4,Zoology,2,2,3,2,1,4,3,2,6,1,5,4,1,3,C
MiamiUniversity,15,405,7420134,18,NA,6,4,6,5,5,3,6,1,4,3,6,6,7,6,6,1,2,2,2,3,3,3,3,3,3,3,3,2,3,2,3,Kinesiology,2,2,3,4,4,2,3,3,6,2,5,4,3,1,B
MiamiUniversity,16,401,7420092,19,I read the instructions,3,5,6,5,6,6,6,2,5,5,9,7,6,7,9,2,2,2,2,4,3,3,3,3,2,4,2,2,3,3,4,Biochemistry,2,2,4,2,2,3,3,2,6,3,4,4,3,2,A
MiamiUniversity,17,404,7420118,19,NA,3,4,6,5,5,5,5,3,6,2,5,6,4,6,4,2,2,2,2,3,3,3,3,3,3,3,3,2,3,2,3,economics,2,2,2,2,4,4,3,4,3,4,3,4,3,2,D
MiamiUniversity,18,2835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B
MiamiUniversity,19,433,7422630,19,NA,7,2,6,5,6,5,7,2,5,1,NA,NA,NA,NA,NA,1,3,2,2,3,3,3,3,4,2,4,2,2,3,2,4,Kinesiology,2,2,2,2,4,3,4,4,3,2,4,3,3,NA,D
MiamiUniversity,20,430,7422624,18,I read the instructions,7,1,7,1,6,5,7,1,6,4,6,4,3,3,3,1,2,2,1,3,2,3,3,3,3,3,2,1,3,3,4,psychology,1,1,5,3,5,3,4,2,7,2,4,4,1,1,C
MiamiUniversity,21,431,7422627,18,I read the instructions,3,3,5,2,5,6,3,1,7,7,6,5,7,5,5,2,2,2,2,2,2,2,2,2,2,4,3,2,3,2,4,biochemistry,3,3,3,2,4,3,2,2,2,3,2,1,4,1,A
MiamiUniversity,22,2876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B
MiamiUniversity,23,570,7434715,18,I read the instructions,7,2,6,5,3,7,7,2,6,3,7,5,6,6,7,1,2,2,1,3,2,4,3,3,3,3,3,2,3,3,4,Business Economics,2,5,2,2,4,4,2,3,5,2,4,3,3,1,C
MiamiUniversity,24,567,7434707,18,I read the instructions,5,2,7,5,6,4,7,2,4,3,6,5,4,6,6,1,2,1,1,3,2,3,3,4,4,2,4,2,4,3,4,Nutrition,5,4,2,3,4,4,4,2,5,3,3,2,1,1,D
MiamiUniversity,25,568,7434710,18,NA,6,7,6,4,2,3,5,2,6,7,3,5,3,3,1,2,2,3,2,2,1,2,1,3,3,2,2,3,3,2,3,Undecided,2,2,4,2,3,2,2,1,6,2,3,4,2,1,A
MiamiUniversity,26,569,7434711,18,I read the instructions,5,3,5,3,5,2,5,1,5,5,4,6,6,5,6,1,3,3,2,3,2,2,2,2,2,2,2,2,3,2,3,Mathematics,2,2,2,2,4,4,4,2,5,2,4,4,2,1,B
MiamiUniversity,27,629,7440468,18,I read the instructions,6,5,7,5,6,3,6,2,6,3,8,6,7,6,8,1,3,3,2,3,3,2,2,2,3,2,3,2,3,3,3,Undecided,3,2,3,4,4,2,4,2,5,2,3,3,2,1,B
MiamiUniversity,28,628,7440466,18,spending time with family,7,3,6,3,7,1,7,3,5,1,5,5,5,5,5,1,2,2,2,4,4,1,3,4,2,4,4,2,3,4,4,psychology,2,1,4,2,2,3,2,2,6,4,4,5,2,1,C
MiamiUniversity,29,630,7440469,21,I read the instructions,6,5,5,3,6,5,5,3,5,6,6,6,5,5,6,1,2,2,2,3,2,4,3,2,3,3,3,2,3,2,3,Supply Chain Management,3,3,2,4,4,2,2,3,3,3,2,3,2,4,A
MiamiUniversity,30,627,7440459,18,I read the instructions,3,5,7,5,6,4,7,1,6,4,9,6,5,4,6,1,3,3,3,4,4,3,3,4,4,4,4,2,2,4,4,psychology with a minor in neuroscience,2,2,4,2,3,4,5,2,3,3,4,2,2,1,D
MiamiUniversity,31,652,7443367,19,NA,6,5,6,6,6,6,6,1,6,1,9,9,9,9,9,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,Interactive Media Studies,2,2,NA,NA,NA,NA,NA,NA,5,4,3,4,4,2,C
MiamiUniversity,32,651,7443365,19,NA,5,4,7,3,3,7,5,4,6,3,6,6,7,7,6,2,2,2,2,3,2,2,3,2,3,3,3,2,3,2,3,Undecided,3,3,3,4,4,3,4,3,2,3,4,3,3,1,A
MiamiUniversity,33,738,7453963,19,I read the instructions,7,3,6,2,7,1,7,3,6,1,6,3,2,1,3,1,4,4,4,4,3,2,2,4,4,4,4,4,4,3,4,Biology and Premedical Studies,1,1,2,4,3,4,4,2,7,2,5,4,1,2,A
MiamiUniversity,34,777,7457169,19,NA,7,4,7,3,7,2,7,3,5,3,9,9,9,9,7,1,3,2,1,2,4,4,3,4,4,4,4,2,4,4,4,Sports Leadership and Management,1,1,1,3,5,3,5,1,6,3,3,5,1,2,A
MiamiUniversity,35,776,7457168,19,NA,2,4,2,6,2,3,2,5,2,2,5,6,7,7,5,2,3,3,2,3,2,4,2,2,2,2,2,3,3,3,3,business,6,6,2,2,2,3,3,3,6,2,4,3,3,1,B
MiamiUniversity,36,775,7457167,18,I read the instructions,7,6,7,6,7,1,6,1,6,1,9,9,9,9,6,1,3,3,3,4,4,3,2,4,4,4,4,4,4,3,4,Psychology,2,2,3,2,2,3,4,3,7,2,5,3,5,1,C
MiamiUniversity,37,925,7471970,19,I read the instructions,6,5,7,5,5,2,6,1,6,2,8,7,8,7,8,1,3,3,3,4,3,2,2,3,4,4,3,2,4,3,4,Business management,3,2,3,2,4,4,5,2,5,3,4,4,2,1,B
MiamiUniversity,38,927,7471974,18,I read the instructions,7,2,6,2,7,1,7,4,6,3,6,4,7,6,6,1,2,1,1,2,2,2,2,3,2,4,3,2,2,4,4,Psychology,1,1,3,3,4,2,3,4,6,1,5,4,2,1,D
MiamiUniversity,39,926,7471971,19,NA,6,2,5,6,6,6,6,2,5,3,7,5,6,7,7,1,2,2,3,4,3,2,3,3,3,4,4,2,3,3,4,Special Education,1,2,3,4,4,4,4,4,7,3,2,3,4,2,C
MiamiUniversity,40,933,7472158,18,I read the instructions,6,5,7,3,5,2,6,4,5,3,6,7,6,5,6,2,3,3,3,3,2,2,2,3,3,3,4,2,3,3,4,Kinesiology,1,1,3,2,3,4,5,2,6,4,4,3,3,1,B
MiamiUniversity,41,934,7472168,20,I read the instructions,6,5,7,4,6,1,5,4,5,4,8,8,8,8,8,2,3,3,2,4,3,3,2,4,3,3,3,3,3,2,3,Biology,2,2,3,2,2,3,4,2,6,2,4,4,2,2,A
MiamiUniversity,42,932,7472156,19,NA,6,2,4,1,6,1,5,5,5,2,7,8,6,6,NA,1,3,2,2,3,3,2,2,3,2,4,4,3,3,4,4,Psychology,4,4,2,2,3,3,4,1,4,4,3,2,4,1,D
MiamiUniversity,43,1129,7489722,20,I read the instructions,6,6,6,5,6,5,5,5,5,5,7,3,5,6,7,2,2,3,2,3,3,3,2,4,3,4,4,3,3,3,4,Business ISA,3,2,3,2,4,4,2,2,6,3,4,3,3,3,C
MiamiUniversity,44,1128,7489720,18,NA,6,3,6,5,7,2,6,3,5,4,9,5,7,4,8,2,3,3,2,4,4,3,2,3,4,2,3,4,4,3,4,University Studies,3,2,2,2,4,3,4,2,7,2,3,2,4,1,B
MiamiUniversity,45,1127,7489719,18,NA,6,4,6,3,5,2,6,1,7,2,6,5,6,6,5,2,2,2,2,2,3,2,2,3,2,4,4,3,4,2,4,Business Undecided,3,3,3,2,2,3,3,2,6,2,4,3,4,1,A
MiamiUniversity,46,1135,7490108,18,NA,2,3,4,5,1,5,5,2,5,5,8,7,8,7,7,1,2,2,2,4,3,2,4,4,3,4,4,3,3,3,4,Sports medicine,2,2,3,3,4,1,3,2,5,3,3,4,4,1,A
MiamiUniversity,47,1134,7490107,18,NA,7,5,6,4,6,4,6,3,6,2,8,7,7,7,7,1,2,2,2,3,2,2,3,3,2,3,2,2,3,2,3,undecided,3,2,2,3,5,3,2,2,5,2,4,3,1,1,B
MiamiUniversity,48,1133,7490105,18,I read the instructions,7,4,7,2,6,5,7,3,6,3,9,9,9,7,7,1,3,3,2,4,4,4,2,4,3,4,4,2,2,3,4,Computer Science,5,3,3,2,2,4,4,2,6,3,3,3,4,1,C
MiamiUniversity,49,1178,7492766,18,NA,2,1,7,4,3,6,6,2,3,1,9,6,5,7,5,1,2,2,2,3,3,1,2,3,2,4,4,2,3,4,4,University Studies,6,5,4,2,2,3,3,1,5,3,3,3,2,1,D
MiamiUniversity,50,1177,7492764,18,NA,5,5,3,2,7,7,6,2,7,3,6,5,7,6,5,1,4,3,2,3,3,4,3,3,3,3,3,2,3,4,4,NA,1,1,4,2,2,4,4,4,6,3,4,2,3,1,A
MiamiUniversity,51,1327,7506850,20,NA,3,5,3,2,5,4,4,5,6,6,8,7,9,6,7,2,2,2,3,3,2,4,2,4,4,3,2,3,3,2,4,bioengineering,4,3,3,2,4,3,3,4,4,4,3,3,3,2,C
MiamiUniversity,52,1326,7506847,19,NA,3,4,6,3,5,2,5,5,5,5,7,7,6,6,7,2,2,2,2,3,2,3,3,3,3,3,3,1,3,3,3,Kinesiology,4,4,4,3,4,3,3,3,6,2,4,4,2,2,B
MiamiUniversity,53,1325,7506846,19,NA,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,psychology,2,2,1,1,1,1,1,1,4,1,1,1,1,1,A
MiamiUniversity,54,2573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A
MiamiUniversity,55,1444,7521718,19,I read the instructions. I choose my preference by accident before I read the instructions. Sorry.,2,6,4,5,6,6,7,4,3,5,5,3,6,3,5,2,1,2,1,3,2,4,3,2,1,4,2,2,4,1,4,Political Science,3,3,3,2,4,3,3,5,1,3,4,4,2,2,B
MiamiUniversity,56,2988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C
MiamiUniversity,57,1441,7521712,18,NA,5,5,6,4,5,2,5,4,4,3,6,6,5,7,5,2,2,2,2,3,3,3,2,3,3,3,3,2,3,3,3,undecided,4,4,3,2,4,3,3,3,5,3,4,4,4,1,A
MiamiUniversity,58,2799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D
MiamiUniversity,61,1475,7527149,18,i read da instuctionz,4,4,4,4,4,4,4,4,4,4,8,4,7,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,psych,4,3,1,3,3,3,3,3,3,3,3,3,3,1,A
MiamiUniversity,62,1472,7527144,19,I read the instructions,6,2,5,1,7,5,7,6,7,1,8,7,7,7,6,1,3,3,2,4,4,2,2,4,4,4,4,2,4,4,4,Biochemistry,1,1,4,1,4,5,5,3,6,2,5,5,2,2,C
MiamiUniversity,63,1473,7527145,18,being with friends,6,5,4,5,5,1,6,5,5,3,4,5,5,8,5,1,2,1,1,2,1,4,4,2,2,3,3,1,1,3,3,Psychology,3,3,3,4,4,1,2,3,6,2,4,3,2,1,D
MiamiUniversity,64,1474,7527148,18,I read the instructions,2,5,6,7,3,7,7,4,4,3,5,1,7,6,5,1,2,2,1,2,4,4,4,3,2,3,3,1,3,2,3,Psychology,4,4,4,3,5,2,3,3,1,5,2,1,5,1,B
MiamiUniversity,65,1511,7529887,19,I read the instructions,5,6,6,7,6,7,6,3,3,2,4,3,4,5,4,1,2,2,2,3,3,3,3,3,2,3,3,3,2,3,4,Undeclared,5,5,3,2,4,3,3,4,5,2,3,2,5,1,C
MiamiUniversity,66,1513,7529890,19,I read the instructions,7,2,3,2,5,1,7,5,5,5,7,6,8,5,6,1,3,3,2,3,2,3,2,3,3,4,4,2,2,3,3,undecided,2,2,4,4,5,3,2,2,6,2,4,4,2,1,A
